Property ,Tier 2024,Tier 2025,Tier 2026,Scoring Tier,Page Name,Page Type,Page URL,Response,Title,Title Length,Meta Description,Description Length,Target keyword (s),Secondary Keyword,H1 Tag,H2 Tag(s),New Page,New Target KW(s),Consultant,Recent Tier Change,Notes to be checked by the consultants before rescoring
Abu Dhabi,2,2,3,3,Frontpage,Home,https://www.fourseasons.com/abudhabi/,200,Luxury 5-Star Hotel Abu Dhabi | Four Seasons Hotel Al Maryah Island,67,"Experience luxury at Four Seasons Hotel Abu Dhabi at Al Maryah Island. Our luxury Abu Dhabi hotel is perfect for business, shopping and relaxation.",147,"four seasons abu dhabi, luxury hotel abu dhabi",,Abu Dhabi at Al Maryah Island% Abu Dhabi at Al Maryah Island% Abu Dhabi at Al Maryah Island% Abu Dhabi by Four Seasons% Residences available for purchase,An ultra-modern sanctuary on the edge of the Arabian Gulf% Accommodations% Discover Abu Dhabi% Rooftop Bliss% #FSABUDHABI,,,Rob,,
Abu Dhabi,2,2,3,3,Accommodations,Accommodation,https://www.fourseasons.com/abudhabi/accommodations/,200,Abu Dhabi Suites and Accommodations | Four Seasons Hotel Al Maryah Island,73,Luxury Abu Dhabi Suites and stylish accommodations. Book now for an unforgettable retreat experience of tranquility and relaxation.,131,Abu Dhabi Suites,,Abu Dhabi Hotel Rooms & Suites,Premier Room% Deluxe Waterfront Room% Deluxe Room% Superior Room% Deluxe Executive Suite% Executive Suite% Royal Suite% Presidential Suite% Premier Suite% Interior Design,,,Rob,,
Abu Dhabi,2,2,3,3,Dining,"Weddings, Wellness & Dining",https://www.fourseasons.com/abudhabi/dining/,200,Fine Dining Abu Dhabi | Four Seasons Hotel Al Maryah Island,59,Embark on a fine dining journey at Four Seasons Hotel Abu Dhabi. Elevate your experience at our luxury restaurants. Book now for a fine dining adventure.,153,fine dining abu dhabi,Abu Dhabi Dining | Abu Dhabi Restaurants,Fine Dining Abu Dhabi% Fine Dining Abu Dhabi% Fine Dining Abu Dhabi,All Food and Drink% Culinary Activities% Meet the Team% Events,,,Rob,,
Abu Dhabi,2,2,3,3,Offers,Other,https://www.fourseasons.com/abudhabi/offers/,200,Luxury Hotel Packages Abu Dhabi | Four Seasons Al Maryah Island,63,"Explore Abu Dhabi hotel packages at Four Seasons Abu Dhabi at Al Maryah Island, including 15% Off, Third Night Free, Family Fun and more. Plan your stay now.",157,"abu dhabi hotel packages, abu dhabi hotel offers",luxury hotel offers abu dhabi,Abu Dhabi Hotel Offers & Packages,Featured Offer,,,Rob,,
Abu Dhabi,2,2,3,3,Photos & Videos,Other,https://www.fourseasons.com/abudhabi/photos-and-videos/,200,Abu Dhabi Hotel Photos & Videos | Four Seasons Hotel Abu Dhabi,62,Four Seasons Hotel Abu Dhabi at Al Maryah Island photos and videos showcase a sophisticated urban sanctuary right on the water’s edge of the Arabian Gulf.,154,four seasons abu dhabi photos,Abu Dhabi Photos & Videos,Photos & Videos,Hotel Overview% Accommodations% Dining% Spa,,,Rob,,
Abu Dhabi,2,2,3,3,Pools,Other,https://www.fourseasons.com/abudhabi/services-and-amenities/pools/,200,Hotel Pool & Terrace | Four Seasons Abu Dhabi,45,"Relax and unwind on our third-floor terrace pool. As night falls, watch as the pool transforms into Eclipse Terrace Lounge, where you can enjoy music and cocktails under the stars.",180,Abu dhabi hotel pool,hotel with pool abu dhabi,Abu Dhabi Hotel Pool,Hours% Highlights,1,,Rob,,
Abu Dhabi,2,2,3,3,Spa & Wellness,"Weddings, Wellness & Dining",https://www.fourseasons.com/abudhabi/spa/,200,Hotel with Spa in Abu Dhabi | Four Seasons Al Maryah Island,59,Spa hotels Abu Dhabi: Discover the pampering sanctuary of the Spa at Four Seasons Abu Dhabi at Al Maryah Island. Indulge in serenity with our wide range of traditional spa treatments.,183,"spa hotels abu dhabi, abu dhabi spa",,Abu Dhabi Spa,Hours% Favourites% Spa Services% Wellness Services% Relaxation Experiences,,,Rob,,
Abu Dhabi,2,2,3,3,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/abudhabi/weddings/,200,Abu Dhabi Weddings | Luxury Wedding Venue in Abu Dhabi,54,The wedding venues at Four Seasons Hotel Abu Dhabi at Al Maryah Island offer the epitome of luxury. Abu Dhabi weddings don't come more luxurious than with Four Seasons.,168,"abu dhabi weddings, wedding venue abu dhabi",,Abu Dhabi Weddings% Abu Dhabi Weddings,Real wedding experiences% Wedding Services,,,Rob,,
Abu Dhabi,2,2,3,3,Honeymoon,Other,https://www.fourseasons.com/abudhabi/weddings/honeymoon/,200,Abu Dhabi Honeymoons | Four Seasons Hotel Abu Dhabi at Al Maryah Island,71,"Begin life as a married couple with a dream honeymoon in Abu Dhabi. Our wedding planners can provide the ultimate in honeymoon luxury, creating memories of Abu Dhabi that will last a lifetime.",192,Abu Dhabi Honeymoons,,Abu Dhabi Honeymoons,,,,Rob,,
Abu Dhabi,2,2,3,3,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/abudhabi/weddings/packages/,200,Abu Dhabi Wedding Packages | Four Seasons Hotel Abu Dhabi at Al Maryah Island,77,"Our Abu Dhabi wedding packages combine the amenities only Four Seasons can provide, with the dedicated services of your wedding specialist, available 24/7 to make sure everything goes perfectly.",194,Abu Dhabi Wedding Packages,,Abu Dhabi Wedding Packages,,,,Rob,,
