url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/abudhabi/,four seasons abu dhabi,,AE,en,mobile
https://www.fourseasons.com/abudhabi/accommodations/,Abu Dhabi Suites,,AE,en,mobile
https://www.fourseasons.com/abudhabi/dining/,fine dining abu dhabi,Abu Dhabi Dining | Abu Dhabi Restaurants,AE,en,mobile
https://www.fourseasons.com/abudhabi/offers/,abu dhabi hotel packages,luxury hotel offers abu dhabi,AE,en,mobile
https://www.fourseasons.com/abudhabi/photos-and-videos/,four seasons abu dhabi photos,Abu Dhabi Photos & Videos,AE,en,mobile
https://www.fourseasons.com/abudhabi/services-and-amenities/pools/,Abu dhabi hotel pool,hotel with pool abu dhabi,AE,en,mobile
https://www.fourseasons.com/abudhabi/spa/,spa hotels abu dhabi,,AE,en,mobile
https://www.fourseasons.com/abudhabi/weddings/,abu dhabi weddings,,AE,en,mobile
https://www.fourseasons.com/abudhabi/weddings/honeymoon/,Abu Dhabi Honeymoons,,AE,en,mobile
https://www.fourseasons.com/abudhabi/weddings/packages/,Abu Dhabi Wedding Packages,,AE,en,mobile
https://www.fourseasons.com/abudhabi/seasonal/christmas/,,,AE,en,mobile
https://www.fourseasons.com/abudhabi/seasonal/new-year/,,,AE,en,mobile
https://www.fourseasons.com/abudhabi/seasonal/ramadan/,,,AE,en,mobile
https://www.fourseasons.com/abudhabi/weddings/venues/,Wedding Venues Abu Dhabi,,AE,en,mobile
https://www.fourseasons.com/alexandria/,hotel alexandria | luxury hotels in alexandria,,EG,en,mobile
https://www.fourseasons.com/alexandria/accommodations/,alexandria suites | alexandria hotel rooms,,EG,en,mobile
https://www.fourseasons.com/alexandria/dining/,fine dining alexandria,,EG,en,mobile
https://www.fourseasons.com/alexandria/experiences/,things to do alexandria | alexandria experiences,,EG,en,mobile
https://www.fourseasons.com/alexandria/landing-pages/property/villas-with-private-pools/,private pool villa egypt,,EG,en,mobile
https://www.fourseasons.com/alexandria/offers/,alexandria hotel offers | alexandria hotel packages,,EG,en,mobile
https://www.fourseasons.com/alexandria/photos-and-videos/,alexandria photos | alexandria videos,,EG,en,mobile
https://www.fourseasons.com/alexandria/seasonal/ramadan/,ramadan alexandria,,EG,en,mobile
https://www.fourseasons.com/alexandria/spa/,alexandria spa,,EG,en,mobile
https://www.fourseasons.com/alexandria/weddings/,alexandria weddings,,EG,en,mobile
https://www.fourseasons.com/amaalaredsea/,four seasons amaala,"wellness resort in saudi arabia, four seasons saudi arabia, luxury resorts in saudi arabia",SA,en,mobile
https://www.fourseasons.com/amaalaredsea/accommodations/,luxury suites in amaala,"luxury suites saudi arabia, luxury accommodations saudi arabia",SA,en,mobile
https://www.fourseasons.com/amaalaredsea/dining/,red sea restaurants,fine dining saudi arabia,SA,en,mobile
https://www.fourseasons.com/amaalaredsea/offers/,hotel offers in amaala,,SA,en,mobile
